ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer
"1"	"0.1uf"	"C1,C3,C4,C10,C11,C12,C14,C17,C21,C22,C23"	"C0402_NEW"	"11"	""	""
"2"	"1uf"	"C2,C5,C6,C7"	"C0402_NEW"	"4"	""	""
"3"	"4.7uf"	"C8,C9,C13"	"C0402_NEW"	"3"	""	""
"4"	"220pf"	"C15,C18"	"C0402_NEW"	"2"	""	""
"5"	".22uF"	"C16"	"C0402_NEW"	"1"	""	""
"6"	"475"	"C19"	"C0402_NEW"	"1"	""	""
"7"	"4.7uF"	"C20"	"C0402_NEW"	"1"	""	""
"8"	"TF-014-H16"	"CARD1"	"TF-SMD_TF-014-H16"	"1"	"TF-014-H16"	"台湾汉博"
"9"	"1N5819"	"D1"	"SOD-323_L1.7-W1.3-LS2.5-RD"	"1"	"1N5819"	"null"
"10"	"1N4148W-G"	"D2"	"SOD-123_L2.8-W1.8-LS3.7-RD"	"1"	"1N4148W-G"	"CJ"
"11"	"LESD5D5.0CT1G"	"D3,D4,D5"	"SOD-523_L1.2-W0.8-LS1.6-BI"	"3"	"LESD5D5.0CT1G"	"Leshan Radio"
"12"	"LED-0603_R"	"LED1"	"LED0402-R-RD"	"1"	"19-217/R6C-AL1M2VY/3T"	"EVERLIGHT(台湾亿光)"
"13"	"MOTOR-EXT_MOUDLE_1CM"	"M1"	"VIBRATION MOTOR 1CM"	"1"	""	""
"14"	"SS8050-H"	"Q1"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"1"	"SS8050-H"	"Yangzhou Yangjie Elec Tech"
"15"	"FS8205A"	"Q2"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	"1"	"FS8205A"	"TECH PUBLIC(台舟电子)"
"16"	"S8050"	"Q3,Q4"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"2"	"S8050M-D"	"BLUE ROCKET"
"17"	"BSS138"	"Q5"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"1"	"BSS138"	"PANJIT(强茂)"
"18"	"100R"	"R1"	"R0402"	"1"	""	""
"19"	"47k"	"R2,R5"	"R0402"	"2"	""	""
"20"	"2k"	"R3,R6,R19,R21"	"R0402"	"4"	""	""
"21"	"1k"	"R4,R25"	"R0402"	"2"	""	""
"22"	"470R"	"R7"	"R0402"	"1"	""	""
"23"	"10k"	"R8,R10,R11,R12,R13,R14,R15,R17,R20"	"R0402"	"9"	""	""
"24"	"10R"	"R9,R16"	"R0603"	"2"	""	""
"25"	"22.1k"	"R18"	"R0603"	"1"	""	""
"26"	"4.7k"	"R22,R23,R24,R26"	"R0402"	"4"	""	""
"27"	"100k"	"R27"	"R0402"	"1"	""	""
"28"	"TS24CA"	"SW1"	"SW-SMD_TS24CA"	"1"	"TS24CA"	"SHOU HAN"
"29"	"XC6206P182MR-G"	"U1"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"1"	"XC6206P182MR-G"	"TOREX(特瑞仕)"
"30"	"DW01"	"U2"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	"1"	"WSTDW01"	"WINSOK"
"31"	"NCP167AMX330TBG"	"U3"	"XDFN-4_L1.0-W1.0-P0.65-BL-EP"	"1"	"NCP167AMX330TBG"	"ON Semiconductor"
"32"	"MCP73831T-2ACI/OT"	"U4"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"1"	"MCP73831T-2ACI/OT"	"Microchip Tech"
"33"	"CP2102N"	"U5"	"QFN-28_L5.0-W5.0-P0.50-BL-EP3.3"	"1"	"CP2102N-A01-GQFN28"	"SILICON LABS"
"34"	"TTGO-32-micro"	"U6"	"TTGO-32-MICRO"	"1"	""	""
"35"	"IPS6404L‐SQ"	"U7"	"IPS6404L‐SQ_SOP8"	"1"	""	""
"36"	"ST7789V2- 1.69ROUND_TFT"	"U8"	"LH169T_IG01 -02"	"1"	""	""
"37"	"MAX30102-"	"U9"	"OESIP-14_L5.6-W3.3-P0.80-TL"	"1"	"MAX30102"	"null"
"38"	"BH1750FVI-TR"	"U10"	"WSOF-6_L2.6-W1.6-P0.50-TL-EP"	"1"	"BH1750FVI-TR"	"ROHM"
"39"	"HMC5883L-TR"	"U11"	"LGA-16_L3.0-W3.0-P0.50-BL_SQ"	"1"	"HMC5883L-TR"	"Honeywell"
"40"	"LSM303DLHC"	"U12"	"LGA-14"	"1"	""	""
"41"	"MPU6050-YJLTY"	"U13"	"QFN-24_L4.0-W4.0-P0.50-BL-EP2.7"	"1"	"MPU6050-YJLTY"	"null"
"42"	"MAX809T"	"U14"	""	"1"	""	""
"43"	"MICRO5.9MMUSB"	"USB4"	"MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB"	"1"	"MICRO5.9mmusb"	"SHOU HAN"
